device_id,fingerprint_hash,device_type,os,browser
14581844-7f6a-428a-9073-a003cf003043,b7404863b07727fc,desktop,iOS,App
360cb2ea-d7cb-4248-a761-e4930a3d4b78,e15c0355daffb3a6,desktop,macOS,Safari
8a951f65-e064-4c3a-9600-54bed6c33ccf,96b1d6862715a3d1,mobile,iOS,Safari
4d77c531-76fb-4ab7-9150-00d7e066dce7,076654177b955c78,tablet,Linux,Firefox
1bed3c46-539a-4602-be7d-cd4d91262ca1,066b7f08c460e65d,tablet,macOS,App
69c9403b-577e-4dc9-be08-58037f965f5e,5dd8219fc92135e5,desktop,Linux,Edge
f3f9540a-cd90-4704-9cc9-a788326745c3,f93b01c88bf7b89a,desktop,Android,Edge
51da4db2-21db-4892-94d8-3fc6bf0ae9fe,b35302d9cc6e0f75,tablet,Linux,Safari
9be9febf-4bca-4a39-9086-d894ec8d8d32,7ec7a2c538aea1da,desktop,macOS,App
e6133d82-4fbc-4a57-8714-3d2b9dd380cb,79cbb2a6474c319c,desktop,Linux,App
8c7f59c3-6d93-4122-bdf9-05ad635fa293,1adc63a2414678d7,desktop,iOS,Firefox
ae00ee4d-7134-4d42-82df-3422bb7e6e30,2acae77e803c1fa4,mobile,Linux,Firefox
29e50849-a822-4c1e-9ea2-abc13c1ea5d1,41728570ba37fbc4,mobile,Windows,Chrome
4c48636f-8fac-4725-a69e-b33f7db15d36,436f7e2265f48599,desktop,Android,Edge
86c36679-7ff5-410d-9ba9-46734cd6c247,841d927e7778a602,tablet,Windows,App
19fe0430-447d-40a7-b47a-14019ac7e9b4,51a010f363d12dcc,mobile,Android,Firefox
32962d63-fc71-425f-8172-f317d3788f16,464715ac22c50824,tablet,Linux,Firefox
69b60414-b18e-4695-9200-0c0097ea53b4,ccefb281efe0f70f,tablet,iOS,Firefox
46d3629d-239e-48bb-b619-5c3a708a2a43,7abe4e70ebcd5f70,mobile,iOS,Chrome
fc5f8a83-b4fc-4e49-866c-e183b3dc5b7e,a605d0a196ff8738,desktop,Windows,Edge
9255d8b5-0278-44ca-ac59-88b061b1a6fe,75250b436542b8eb,mobile,Windows,Edge
81a7c32a-6c9e-4950-9b24-4f4cca431983,97aec341f51cc5c2,tablet,Android,App
2f5e349f-6ba6-4eba-ba97-fc304f0a162b,653433cd9ba11a42,tablet,Linux,App
d32f63fb-b028-4a6b-983f-d8b7970400bf,8093e3efd12270fc,desktop,Linux,Firefox
193c826a-5209-4fad-b7ac-9b52bcc8083b,f2ecdfbe7ef5a391,mobile,macOS,App
6c8ccf72-2314-481e-bbb7-0ea4b0bdacb2,f5e5313b7953546e,tablet,macOS,Firefox
4f9874c6-eb1b-48bd-9fcd-6ef335722c03,a585b34ffbd2ff9b,desktop,Windows,Edge
3a75a63e-a2af-4f22-b326-e854782f1291,bc5fc685c2ce2006,tablet,Windows,Edge
29bbce5b-4ee5-4b84-a3c0-5c048d3abd98,2a9be379cbeb1a6e,tablet,Windows,App
a9335423-9fb4-43e8-99de-e1b5e5e71308,2a7a56765cc3511c,tablet,Android,Edge
c0d04bc7-d9a0-44aa-8abb-2cc3642e589d,45c3be63c030a763,tablet,Android,Chrome
ddc3c512-a7f0-46b9-8d4b-1d7a0c3ff5f4,9a9b5793f311428f,mobile,iOS,Chrome
781eb62f-0ad0-4c02-b6d5-58f54a3409b0,e61cc541abc93f56,desktop,Windows,Firefox
3a3fdeb5-b45f-41d5-be37-90020499402a,f56f91d70be6f657,desktop,Android,Firefox
cabf8860-a44b-4968-808d-30348f0bee9e,24dc58f704f58b3d,desktop,Android,Edge
cf94c93f-aeb0-47d7-a29c-8e20c1cc5869,640931c42c640ff0,mobile,Linux,Firefox
6ccd0f17-9b8f-4ad8-8e0c-f1aeee02d811,64fc4911eafdc7e7,desktop,iOS,Firefox
8d274cb6-80a1-4e38-9250-c9616eee8f52,4368251bf893ef93,mobile,Windows,App
7b71ff25-eae8-402d-b88e-cedc377123c9,8be1c21ae68dcbec,tablet,Windows,Safari
38a21280-425f-4afb-ad5a-7cec5aea303a,850c6cd30b9a5ab9,tablet,macOS,Firefox
d4dffa47-b6c9-4d68-9939-890b4d4a1501,f7445a8bcfa77727,tablet,macOS,Firefox
43279eb3-5b55-4a6b-b867-e87f6af898d4,41a5207a44b93b31,tablet,iOS,Firefox
a278bf21-feb8-4c5a-a4af-7408546dabb3,35afe783a1e7dc7b,desktop,Linux,App
7364dc9e-4679-4d1d-aaea-c5aaad97785c,19927f52f06c432a,tablet,iOS,App
3540fe20-28f0-4e9b-b382-189a4c1891b2,9a891ad31ba9c314,desktop,Linux,Firefox
6a1043d5-a908-48fe-8a8e-98174e30fb99,da5d006808f6ee8b,mobile,Windows,Firefox
4ee008a3-31f1-470e-b2da-dca17d7b4ed6,06843f001a41c91a,tablet,Android,Firefox
d0e60757-6354-40cd-8625-930fd685986e,f74dac1d3040e00b,desktop,macOS,Chrome
48445f78-852b-4a8e-975a-881fd0748305,18b3bc50f20920f5,mobile,Android,Firefox
dd9e5036-8397-4650-8e67-4dd73d9b221a,098ec30bad527f07,desktop,macOS,Safari
fba50eb4-d47d-4015-a6b7-8aabde0f4c2e,27de4b97a1103b86,tablet,Android,Chrome
7d82f0f3-106e-4cb5-96a3-a55b34f901bc,3caf7d521c6e0d84,mobile,iOS,Chrome
5767761a-fcaa-4d66-8aed-69289de263e9,c538d7a46c25d2bd,desktop,macOS,Firefox
3a973af5-f58d-49bc-b338-20d87f142870,ab9f1ca50a6cdabb,mobile,Linux,Chrome
9dbc6231-6269-485a-a27d-621c5e31a4d9,94ada639eed174c9,tablet,Windows,Edge
6e584d0f-94ee-4d6e-8b3e-2a5cbfdbfc1c,ce2f50f0e94175c8,desktop,Android,Firefox
51529ace-0ab1-422e-8141-23ffd167eb06,897f03e8ef037d4d,mobile,iOS,Safari
9c35e3ac-e538-4066-9062-706c6d78683a,4cb6f7a912be0a55,mobile,Linux,Edge
23fc9ce0-9049-4dd1-9057-9de87df02a5e,103e575349ccac5c,desktop,macOS,Firefox
506cfc60-bb53-47b0-99f9-ad0f25b942e9,c84c94496f072d97,tablet,Android,Edge
7ca46130-26bd-4988-9de4-2fe9cd10990a,5e06a8af824a958f,tablet,iOS,Edge
a5cc7ff8-33f0-4b66-ab8d-a1dfe2624f1d,a9cb3e76b3d38201,desktop,iOS,Chrome
